id,name,district
248,Nesarabad,32
247,Mathbaria,32
246,Bhandaria,32
245,Zianagar,32
244,Kawkhali,32
243,Nazirpur,32
242,Pirojpur Sadar,32
241,Rangabali,31
240,Galachipa,31
239,Mirzaganj,31
238,Kalapara,31
237,Dashmina,31
236,Dumki,31
235,Patuakhali Sadar,31
234,Bauphal,31
233,Rajapur,30
232,Nalchity,30
231,Kathalia,30
230,Jhalakathi Sadar,30
229,Moheshpur,29
228,Kotchandpur,29
227,Kaliganj,29
226,Harinakundu,29
225,Shailkupa,29
224,Jhenaidah Sadar,29
223,Chitalmari,28
222,Mongla,28
221,Kachua,28
220,Morrelganj,28
219,Rampal,28
218,Sarankhola,28
217,Mollahat,28
216,Bagerhat Sadar,28
215,Fakirhat,28
214,Koyra,27
213,Dakop,27
212,Botiaghata,27
211,Dumuria,27
210,Terokhada,27
209,Rupsha,27
208,Digholia,27
207,Fultola,27
206,Paikgasa,27
205,Mohammadpur,26
204,Magura Sadar,26
203,Sreepur,26
202,Shalikha,26
201,Bheramara,25
200,Daulatpur,25
199,Mirpur,25
198,Khoksa,25
197,Kumarkhali,25
196,Kushtia Sadar,25
195,Jibannagar,24
194,Damurhuda,24
193,Alamdanga,24
192,Chuadanga Sadar,24
191,Kalia,23
190,Lohagara,23
189,Narail Sadar,23
188,Gangni,22
187,Meherpur Sadar,22
186,Mujibnagar,22
185,Kaliganj,21
184,Tala,21
183,Shyamnagar,21
182,Satkhira Sadar,21
181,Kalaroa,21
180,Debhata,21
179,Assasuni,21
178,Sharsha,20
177,Jessore Sadar,20
176,Keshabpur,20
175,Jhikargacha,20
174,Chougachha,20
173,Bagherpara,20
172,Abhaynagar,20
171,Manirampur,20
170,Sapahar,19
169,Porsha,19
168,Naogaon Sadar,19
167,Raninagar,19
166,Atrai,19
165,Manda,19
164,Niamatpur,19
163,Dhamoirhat,19
162,Patnitala,19
161,Badalgachi,19
160,Mohadevpur,19
159,Shibganj,18
158,Bholahat,18
157,Nachol,18
156,Gomostapur,18
155,Chapainawabganj Sadar,18
154,Joypurhat Sadar,17
153,Panchbibi,17
152,Khetlal,17
151,Kalai,17
150,Akkelpur,17
149,Naldanga,16
148,Gurudaspur,16
147,Lalpur,16
146,Bagatipara,16
145,Baraigram,16
144,Singra,16
143,Natore Sadar,16
142,Bagmara,15
141,Tanore,15
140,Godagari,15
139,Bagha,15
138,Puthia,15
137,Charghat,15
136,Mohonpur,15
135,Durgapur,15
134,Paba,15
133,Shibganj,14
132,Sherpur,14
131,Gabtali,14
130,Dhunot,14
129,Sonatala,14
128,Nondigram,14
127,Adamdighi,14
126,Dupchanchia,14
125,Shajahanpur,14
124,Shariakandi,14
123,Bogra Sadar,14
122,Kahaloo,14
121,Faridpur,13
120,Santhia,13
119,Chatmohar,13
118,Atghoria,13
117,Bera,13
116,Pabna Sadar,13
115,Bhangura,13
114,Ishurdi,13
113,Sujanagar,13
112,Ullapara,12
111,Tarash,12
110,Sirajganj Sadar,12
109,Shahjadpur,12
108,Raigonj,12
107,Kazipur,12
106,Kamarkhand,12
105,Chauhali,12
104,Belkuchi,12
103,Thanchi,11
102,Ruma,11
101,Lama,11
100,Rowangchhari,11
99,Naikhongchhari,11
98,Alikadam,11
97,Bandarban Sadar,11
96,Guimara,10
95,Matiranga,10
94,Ramgarh,10
93,Manikchari,10
92,Mohalchari,10
91,Laxmichhari,10
90,Panchari,10
89,Dighinala,10
88,Khagrachhari Sadar,10
87,Teknaf,9
86,Ramu,9
85,Pekua,9
84,Moheshkhali,9
83,Ukhiya,9
82,Kutubdia,9
81,Chakaria,9
80,Coxsbazar Sadar,9
79,Karnafuli,8
78,Raozan,8
77,Fatikchhari,8
76,Hathazari,8
75,Lohagara,8
74,Satkania,8
73,Chandanaish,8
72,Anwara,8
71,Boalkhali,8
70,Banshkhali,8
69,Sandwip,8
68,Patiya,8
67,Mirsharai,8
66,Sitakunda,8
65,Rangunia,8
64,Ramganj,7
63,Ramgati,7
62,Raipur,7
61,Kamalnagar,7
60,Lakshmipur Sadar,7
59,Faridgonj,6
58,Matlab North,6
57,Hajiganj,6
56,Matlab South,6
55,Chandpur Sadar,6
54,Shahrasti,6
53,Kachua,6
52,Haimchar,6
51,Sonaimori,5
50,Chatkhil,5
49,Senbug,5
48,Kabirhat,5
47,Subarnachar,5
46,Hatia,5
45,Begumganj,5
44,Companiganj,5
43,Noakhali Sadar,5
42,Naniarchar,4
41,Juraichari,4
40,Belaichari,4
39,Rajasthali,4
38,Langadu,4
37,Barkal,4
36,Baghaichari,4
35,Kawkhali,4
34,Kaptai,4
33,Rangamati Sadar,4
32,Bijoynagar,3
31,Bancharampur,3
